result_id,campaign_id,date,impressions,clicks,conversions,cost,revenue_generated
CR0001,CAMP001,2025-06-01,50000,2500,120,5000,18000
CR0002,CAMP001,2025-06-02,52000,2600,135,5000,21000
CR0003,CAMP001,2025-06-03,48000,2300,110,5000,16500
CR0004,CAMP001,2025-06-05,55000,2800,145,5000,22800
CR0005,CAMP001,2025-06-10,60000,3200,180,5000,28500
CR0006,CAMP001,2025-06-15,62000,3500,210,5000,34000
CR0007,CAMP001,2025-06-18,70000,4200,280,5000,45000
CR0008,CAMP002,2025-11-01,120000,8000,450,15000,72000
CR0009,CAMP002,2025-11-02,130000,8500,520,15000,81000
CR0010,CAMP002,2025-11-05,115000,7500,430,15000,68000
CR0011,CAMP002,2025-11-08,125000,8200,480,15000,75800
CR0012,CAMP002,2025-11-10,140000,9500,620,15000,98000
CR0013,CAMP002,2025-11-11,180000,12000,850,15000,135000
CR0014,CAMP003,2025-07-15,30000,1800,85,7500,22500
CR0015,CAMP003,2025-07-20,28000,1650,72,7500,18800
CR0016,CAMP003,2025-07-25,25000,1400,65,7500,17200
CR0017,CAMP003,2025-08-01,32000,2000,95,7500,24800
CR0018,CAMP003,2025-08-10,27000,1550,68,7500,17900
CR0019,CAMP004,2025-08-20,15000,750,38,4000,12800
CR0020,CAMP004,2025-08-25,18000,920,48,4000,15200
CR0021,CAMP004,2025-08-30,16000,800,42,4000,13800
CR0022,CAMP004,2025-09-05,14000,680,35,4000,11500
CR0023,CAMP005,2025-12-01,25000,1100,55,3000,8500
CR0024,CAMP005,2025-12-10,22000,950,42,3000,7200
CR0025,CAMP005,2025-12-20,20000,880,38,3000,6500
CR0026,CAMP005,2025-12-31,15000,620,28,3000,4800
CR0027,CAMP006,2026-01-25,45000,2200,105,9000,22500
CR0028,CAMP006,2026-01-28,48000,2400,120,9000,25800
CR0029,CAMP006,2026-02-01,50000,2600,135,9000,28800
CR0030,CAMP006,2026-02-05,47000,2350,118,9000,24800
CR0031,CAMP006,2026-02-10,42000,1950,88,9000,18500
CR0032,CAMP007,2026-03-01,22000,1200,62,3600,9500
CR0033,CAMP007,2026-03-03,24000,1350,70,3600,10800
CR0034,CAMP007,2026-03-06,21000,1100,55,3600,8500
CR0035,CAMP007,2026-03-08,28000,1600,88,3600,13500
CR0036,CAMP008,2026-04-01,35000,1750,60,4400,8800
CR0037,CAMP008,2026-04-08,38000,1900,68,4400,9800
CR0038,CAMP008,2026-04-15,36000,1800,65,4400,9400
CR0039,CAMP008,2026-04-22,33000,1650,55,4400,8200
CR0040,CAMP009,2026-02-15,28000,1450,52,7000,10500
CR0041,CAMP009,2026-02-22,30000,1600,58,7000,11800
CR0042,CAMP009,2026-03-01,32000,1750,68,7000,13500
CR0043,CAMP009,2026-03-10,29000,1500,55,7000,11200
CR0044,CAMP010,2026-04-15,12000,680,42,2000,8500
CR0045,CAMP010,2026-04-22,14000,780,48,2000,9800
CR0046,CAMP010,2026-04-30,15000,820,52,2000,10500
CR0047,CAMP010,2026-05-08,13000,720,44,2000,9200
