inventory_id,product_id,warehouse_id,quantity_on_hand,reorder_point,last_restock_date
INV001,1,WH001,150,50,2026-04-15
INV002,1,WH002,200,50,2026-05-01
INV003,1,WH003,80,50,2026-04-20
INV004,1,WH004,45,50,2026-03-10
INV005,2,WH001,120,40,2026-04-22
INV006,2,WH002,180,40,2026-05-05
INV007,2,WH003,95,40,2026-04-18
INV008,3,WH001,60,30,2026-04-25
INV009,3,WH002,110,30,2026-05-02
INV010,3,WH004,35,30,2026-03-28
INV011,4,WH001,200,80,2026-05-01
INV012,4,WH002,250,80,2026-04-28
INV013,5,WH001,90,40,2026-04-15
INV014,5,WH003,70,40,2026-04-10
INV015,6,WH002,55,25,2026-05-03
INV016,6,WH003,42,25,2026-04-12
INV017,7,WH001,130,50,2026-04-20
INV018,7,WH002,165,50,2026-05-04
INV019,8,WH003,38,20,2026-04-08
INV020,8,WH004,28,20,2026-03-05
INV021,9,WH001,75,30,2026-04-18
INV022,9,WH002,88,30,2026-05-06
INV023,10,WH003,22,15,2026-04-01
INV024,10,WH001,18,15,2026-03-22
INV025,11,WH002,95,40,2026-04-25
INV026,11,WH003,65,40,2026-04-14
INV027,12,WH001,44,20,2026-03-30
INV028,12,WH004,31,20,2026-04-05
INV029,13,WH002,110,45,2026-04-28
INV030,13,WH003,78,45,2026-04-19
INV031,14,WH001,55,25,2026-05-02
INV032,14,WH002,40,25,2026-04-30
INV033,15,WH003,25,15,2026-03-28
INV034,15,WH004,18,15,2026-04-02
INV035,16,WH001,85,35,2026-04-22
INV036,16,WH002,92,35,2026-05-03
INV037,17,WH003,33,15,2026-04-10
INV038,17,WH001,30,15,2026-04-08
INV039,18,WH002,68,30,2026-04-26
INV040,18,WH004,42,30,2026-04-15
INV041,19,WH001,22,10,2026-03-18
INV042,19,WH003,16,10,2026-04-02
INV043,20,WH002,55,25,2026-04-30
INV044,20,WH003,36,25,2026-04-12
INV045,5,WH004,12,40,2026-02-15
INV046,8,WH001,15,20,2026-04-01
INV047,12,WH003,10,20,2026-03-12
INV048,15,WH001,8,15,2026-02-28
